,song_no,title,album,artist,rank,like
0,33077590,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),쇼미더머니 9 Episode 1,미란이,1,93816
1,32872978,Dynamite,Dynamite (DayTime Version),방탄소년단,2,360599
2,33013877,잠이 오질 않네요,잠이 오질 않네요,장범준,3,81901
3,32998018,힘든 건 사랑이 아니다,힘든 건 사랑이 아니다,임창정,4,78881
4,33077234,Life Goes On,BE,방탄소년단,5,149682
5,32961718,Lovesick Girls,THE ALBUM,BLACKPINK,6,150161
6,32794652,취기를 빌려 (취향저격 그녀 X 산들),취기를 빌려 (취향저격 그녀 X 산들),산들,7,156837
7,33077591,Freak (Prod. Slom),쇼미더머니 9 Episode 1,릴보이 (lIlBOI),8,35580
8,33061995,밤하늘의 별을(2020),밤하늘의 별을(2020),경서,9,41320
9,3894276,오래된 노래,오래된 노래,스탠딩 에그,10,200076
10,32962258,Savage Love (Laxed - Siren Beat) (BTS Remix),Savage Love (Laxed - Siren Beat) [BTS Remix],Jawsh 685,11,128250
11,32978341,DON'T TOUCH ME,DON'T TOUCH ME,환불원정대,12,157879
12,32871975,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),13,80425
13,33001672,딩가딩가 (Dingga),딩가딩가 (Dingga),마마무 (Mamamoo),14,48745
14,32853712,When We Disco (Duet with 선미),When We Disco,박진영,15,66987
15,32061975,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",항해,AKMU (악동뮤지션),16,324159
16,33077588,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),쇼미더머니 9 Episode 1,스윙스,17,22384
17,33061829,뻔한남자,뻔한남자,이승기,18,30673
18,33016659,I CAN’T STOP ME,Eyes wide open,TWICE (트와이스),19,44641
19,33043504,가을밤에 든 생각,잔나비 소곡집 l,잔나비,20,51195
20,32578498,에잇(Prod.&Feat. SUGA of BTS),에잇,아이유,21,330728
21,32003395,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,멜로가 체질 OST Part 3,장범준,22,270125
22,33011180,나랑 같이 걸을래 (바른연애 길잡이 X 적재),나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,23,41535
23,32438894,어떻게 지내 (Prod. By VAN.C),어떻게 지내,오반,24,133293
24,32720013,How You Like That,How You Like That,BLACKPINK,25,164095
25,32156286,늦은 밤 너의 집 앞 골목길에서,늦은 밤 너의 집 앞 골목길에서,노을,26,168151
26,32825454,눈누난나 (NUNU NANA),NUNA,제시 (Jessi),27,95397
27,32559782,Dolphin,NONSTOP,오마이걸 (OH MY GIRL),28,159349
28,32491274,아로하,슬기로운 의사생활 OST Part 3,조정석,29,205439
29,32725013,마리아 (Maria),María,화사 (Hwa Sa),30,153177
30,31737197,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),MAP OF THE SOUL : PERSONA,방탄소년단,31,406355
31,32183386,Blueming,Love poem,아이유,32,276389
32,32777869,거짓말이라도 해서 널 보고싶어,거짓말이라도 해서 널 보고싶어,백지영,33,48692
33,32224272,METEOR,Boyhood,창모 (CHANGMO),34,242128
34,30962526,"모든 날, 모든 순간 (Every day, Every Moment)",`키스 먼저 할까요?` OST Part.3,폴킴,35,352205
35,33077235,내 방을 여행하는 법,BE,방탄소년단,36,90214
36,32570501,서면역에서,서면역에서,순순희,37,32895
37,32808616,홀로,홀로,이하이,38,118339
38,32999763,놓아줘 (with 태연),with HER,Crush,39,45850
39,33077236,Blue & Grey,BE,방탄소년단,40,90727
40,32525311,사실 나는 (Feat.전건호),사실 나는,경서예지,41,35174
41,31979846,Dance Monkey,The Kids Are Coming,Tones And I,42,142876
42,32651098,사랑은 지날수록 더욱 선명하게 남아,한 걸음 : 흔적,전상근,43,52919
43,32055419,Memories,Memories,Maroon 5,44,147033
